category,recode_type,old_var,old_type,old_value,new_var,new_type,new_value,new_label,var_label,start_year,end_year,notes
baby,copy,date_of_birth_year,continuous,,chi_year,continuous,,,Birth Year,2003,2019,old_val & new_val blank to copy variable wholesale
baby,clean,chi_year,continuous,9999,chi_year,continuous,,,Birth Year,2003,2019,
baby,clean,chi_year,continuous,9,chi_year,continuous,,,Birth Year,2003,2019,
baby,clean,plurality,continuous,"[9, 9]",plurality,continuous,,,plurality - number of children born,2003,2019,
baby,binning,birth_weight_grams,continuous,"[0, 226]",birth_weight_grams,continuous,,,Birth weight in grams,2003,2019,
baby,binning,birth_weight_grams,continuous,"[0, 4499]",bw_vhigh,binary,0,,Birth WT-Very High (4500-8164 grams),2003,2019,
baby,binning,birth_weight_grams,continuous,"[4500, 8164]",bw_vhigh,binary,1,,Birth WT-Very High (4500-8164 grams),2003,2019,
baby,binning,birth_weight_grams,continuous,"[8165, 9998]",bw_vhigh,binary,0,,Birth WT-Very High (4500-8164 grams),2003,2019,
baby,binning,birth_weight_grams,continuous,"[0, 3999]",bw_high,binary,0,,Birth WT-High (4000-4499 grams),2003,2019,
baby,binning,birth_weight_grams,continuous,"[4000, 4499]",bw_high,binary,1,,Birth WT-High (4000-4499 grams),2003,2019,
baby,binning,birth_weight_grams,continuous,"[4500, 9998]",bw_high,binary,0,,Birth WT-High (4000-4499 grams),2003,2019,
baby,binning,birth_weight_grams,continuous,"[0, 2499]",bw_norm,binary,0,,Birth WT-Normal (2500-3999 grams),2003,2019,
baby,binning,birth_weight_grams,continuous,"[2500, 3999]",bw_norm,binary,1,,Birth WT-Normal (2500-3999 grams),2003,2019,
baby,binning,birth_weight_grams,continuous,"[4000, 9998]",bw_norm,binary,0,,Birth WT-Normal (2500-3999 grams),2003,2019,
baby,complex,,,,bw_norm_sing,binary,,,Birth WT-Normal (2500-3999 grams),2003,2019,
baby,binning,birth_weight_grams,continuous,"[0, 1499]",bw_modlow,binary,0,,Mod. Low Birth Weight (1500-2499),2003,2019,
baby,binning,birth_weight_grams,continuous,"[1500, 2499]",bw_modlow,binary,1,,Mod. Low Birth Weight (1500-2499),2003,2019,
baby,binning,birth_weight_grams,continuous,"[2500, 9998]",bw_modlow,binary,0,,Mod. Low Birth Weight (1500-2499),2003,2019,
baby,binning,birth_weight_grams,continuous,"[0, 2499]",bw_low,binary,1,,Low Birth Weight (< 2500) (all births),2003,2019,
baby,binning,birth_weight_grams,continuous,"[2500, 9998]",bw_low,binary,0,,Low Birth Weight (< 2500) (all births),2003,2019,
baby,complex,,,,bw_low_sing,binary,,,Low Birth Weight (< 2500) (singleton births),2003,2019,
baby,binning,birth_weight_grams,continuous,"[0, 226]",bw_vlow,binary,,,Very Low Birth Weight (< 1500) (all births),2003,2019,
